Source	Target
1	2
1	27
1	55
1	102
1	103
1	114
1	142
2	24
2	159
2	198
3	27
3	65
3	75
3	146
4	27
4	86
4	172
5	36
5	64
5	68
5	70
5	73
5	154
5	184
5	193
6	30
6	101
6	123
6	173
6	188
7	78
7	79
7	101
8	35
8	152
8	198
9	186
10	77
10	158
10	170
11	63
11	81
11	114
11	160
12	98
12	161
13	44
13	113
14	76
14	83
14	109
14	136
14	175
15	51
15	164
15	188
16	46
16	148
17	20
17	30
17	57
17	119
17	144
18	65
18	129
20	30
20	82
20	160
21	22
21	89
21	109
22	26
22	105
22	157
23	74
23	162
23	166
23	199
24	50
24	186
25	111
25	129
25	192
26	49
26	107
26	118
26	140
26	183
26	193
27	60
27	110
27	117
27	163
27	185
28	36
28	67
28	70
28	73
28	173
28	187
28	192
29	74
29	95
29	181
30	103
30	110
32	54
32	88
32	109
32	144
32	151
33	75
33	140
33	197
34	88
34	89
34	109
34	181
35	169
35	182
36	43
36	68
36	94
36	97
36	173
37	88
38	124
38	125
39	198
40	119
41	69
41	107
41	117
42	58
42	102
42	166
43	72
43	157
44	163
44	170
45	128
45	163
46	121
46	122
47	123
47	139
47	152
47	198
48	57
48	61
49	54
50	142
50	182
51	67
51	75
51	183
52	55
52	109
52	138
52	164
52	196
53	108
53	139
53	153
53	180
54	56
54	119
54	185
55	80
55	181
56	59
56	159
57	80
57	81
57	89
57	102
57	164
57	186
58	98
58	100
58	178
58	194
59	70
59	80
60	89
60	94
60	166
61	123
61	128
62	82
62	85
62	87
62	100
62	106
62	167
63	89
63	118
63	184
64	168
64	170
65	111
65	173
66	80
66	107
66	146
67	73
67	92
67	101
67	115
67	168
67	179
68	111
69	100
69	135
70	111
70	122
70	178
71	179
71	182
73	87
73	133
73	143
74	106
74	128
76	146
76	172
76	192
77	117
77	199
79	110
79	113
79	117
79	124
80	134
80	166
81	93
81	144
82	104
82	188
82	194
83	154
83	192
84	99
84	138
84	179
85	176
86	105
86	138
86	158
86	168
86	175
87	156
87	166
88	112
88	161
89	145
90	91
90	103
90	121
90	127
90	171
91	96
91	99
91	162
91	193
92	194
93	98
93	150
94	133
95	146
95	176
96	123
96	193
97	123
98	104
99	136
99	140
99	158
99	182
100	168
100	189
100	191
101	200
102	130
102	137
103	165
104	130
105	125
105	138
106	118
106	165
110	161
111	134
112	184
113	138
113	149
113	166
113	170
113	186
113	199
114	162
114	179
115	121
115	148
115	195
116	122
116	135
117	159
119	138
119	189
119	193
120	163
121	163
121	182
123	155
123	177
123	193
124	157
125	198
126	150
126	170
129	192
131	135
131	148
132	172
132	195
133	148
133	152
133	189
133	192
134	164
135	184
138	146
138	158
138	192
139	144
140	172
141	149
142	163
142	171
142	172
143	171
145	151
145	175
146	158
146	179
149	173
151	184
156	162
157	164
160	182
162	174
163	197
170	192
172	184
173	183
173	191
174	186
175	189
175	196
176	192
177	178
177	198
178	184
178	199
179	192
179	200
181	189
189	193
191	199
195	200
