step,3915-choose-best,3915-choose-first,6058-choose-best,6058-choose-first,7494-choose-best,7494-choose-first,time-3915-choose-best,time-3915-choose-first,time-6058-choose-best,time-6058-choose-first,time-7494-choose-best,time-7494-choose-first
1,0.00733894,-0.0113965,-0.0166792,-0.0155819,-0.00167753,-0.0233004,82283.9,2044.47,81959.6,1669.75,87374.5,2108.91
2,0.0158956,-0.0110481,-0.00707328,-0.0150377,0.00785298,-0.0229111,,,,,,
3,0.026546,-0.0110417,0.00148348,-0.0150372,0.0168294,-0.0221358,,,,,,
4,0.0354576,-0.0101621,0.00798979,-0.0148544,0.0246133,-0.0204713,,,,,,
5,0.0455823,-0.00993214,0.0141693,-0.0122696,0.0320413,-0.0202893,,,,,,
6,0.0538471,-0.00953245,0.0220106,-0.0121027,0.0383708,-0.020287,,,,,,
7,0.0597588,-0.00953087,0.0318704,-0.0118283,0.0447207,-0.0202868,,,,,,
8,0.0660783,-0.00814973,0.0442684,-0.0118208,0.0500491,-0.0202833,,,,,,
9,0.0723874,-0.00802429,0.050626,-0.0116545,0.0560043,-0.0202832,,,,,,
10,0.0782481,-0.0078433,0.0561809,-0.0069455,0.0611707,-0.020283,,,,,,
11,0.0840969,-0.00781863,0.061511,-0.0068252,0.0668633,-0.0182783,,,,,,
12,0.0899485,-0.00738243,0.0672512,-0.00682453,0.0717834,-0.0169604,,,,,,
13,0.0955288,-0.00738088,0.07364,-0.00681844,0.0766668,-0.0169601,,,,,,
14,0.102106,-0.00737933,0.0792093,-0.00651251,0.0832752,-0.01696,,,,,,
15,0.110995,-0.00563405,0.0845096,-0.00606157,0.0913297,-0.0165838,,,,,,
16,0.12102,-0.00393901,0.08937,-0.00564417,0.10098,-0.0163965,,,,,,
17,0.12841,-0.00393291,0.0945179,-0.00564151,0.111926,-0.0162093,,,,,,
18,0.133943,-0.00334093,0.0989434,-0.00391959,0.116714,-0.0154606,,,,,,
19,0.140554,-0.00333492,0.103681,-0.00391634,0.121488,-0.0154606,,,,,,
20,0.146204,-0.00333342,0.108834,-0.00259977,0.125531,-0.0150862,,,,,,
21,0.152147,-0.00292166,0.114115,-0.00258518,0.129492,-0.0148993,,,,,,
22,0.157712,-0.00292016,0.118542,-0.00241261,0.133203,-0.0148993,,,,,,
23,0.163222,-0.00291867,0.123045,-0.00219269,0.137094,-0.0148992,,,,,,
24,0.168942,-0.00291717,0.127395,-0.00198291,0.140915,-0.0148992,,,,,,
25,0.17439,-0.00290372,0.131542,-0.00197479,0.144419,-0.014501,,,,,,
26,0.180367,-0.00172331,0.135625,-0.00181175,0.148868,-0.014501,,,,,,
27,0.186036,-0.0017121,0.140394,-0.00127205,0.153225,-0.0145009,,,,,,
28,0.19083,-0.00113941,0.145379,0.00253873,0.157773,-0.0145008,,,,,,
29,0.195616,-0.00086766,0.151523,0.00284864,0.163659,-0.0145007,,,,,,
30,0.201199,-0.000685188,0.155619,0.00457293,0.171106,-0.011756,,,,,,
31,0.20567,-0.000181331,0.159585,0.00650527,0.179004,-0.0108381,,,,,,
32,0.21015,-1.30754e-05,0.163472,0.00761005,0.187233,-0.0104757,,,,,,
33,0.213893,-1.18925e-05,0.167316,0.00761107,0.193158,-0.0101281,,,,,,
34,0.217831,0.000117129,0.172258,0.0101672,0.198945,-0.0097219,,,,,,
35,0.222181,0.000309051,0.177086,0.0101924,0.204041,-0.0097217,,,,,,
36,0.227248,0.000313811,0.180867,0.0104018,0.208667,-0.00955206,,,,,,
37,0.231302,0.000315,0.184622,0.0104059,0.212601,-0.00955183,,,,,,
38,0.236433,0.000334007,0.188348,0.0104134,0.2184,-0.00896889,,,,,,
39,0.240749,0.000376616,0.191905,0.0107725,0.22338,-0.00859272,,,,,,
