INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006331
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006333
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006365
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006369
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006372
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006374
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006375
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006385
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006393
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006394
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006395
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006396
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006397
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006398
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006399
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006400
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006401
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006402
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006403
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006405
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006406
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006407
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006407
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006408
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006409
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006411
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006412
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006413
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006417
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006418
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006419
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006420
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1543006421
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1543006715
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1543006756
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1543006770
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1544048403
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 6058
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 7494
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 8024
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 6453
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 9705
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 9597
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 4777
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1277
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 5521
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1544048997
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 6058
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 7494
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 8024
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 6453
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 9705
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 9597
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 4777
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1277
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 5521
INFO Number of Communities: 6 | Motif: motifs/cycle-5.motif | SEED: 1544049180
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 3915
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 6058
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 7494
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 8024
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 6453
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 9705
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 9597
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 4777
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 1277
INFO Number of Communities: 4 | Motif: motifs/cycle-5.motif | SEED: 5521
